darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;green;green;green;green;green;green;green;green;green;green;green;green;green;green;green;green;green;green;green;green;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;
darkgreen;darkgreen;black;black;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;black;black;darkgreen;darkgreen;black;black;black;black;black;black;black;black;green;green;black;black;green;green;green;green;black;black;green;green;cyan;cyan;cyan;cyan;black;black;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;black;black;black;black;black;black;black;black;darkCyan;darkCyan;black;black;black;black;black;black;black;black;darkCyan;darkCyan;black;black;black;black;black;black;black;black;black;black;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;
darkgreen;darkgreen;darkgreen;darkgreen;black;black;darkgreen;darkgreen;black;black;darkgreen;darkgreen;darkgreen;darkgreen;black;black;green;green;green;green;black;black;green;green;black;black;green;green;green;green;black;black;cyan;cyan;cyan;cyan;cyan;cyan;black;black;cyan;cyan;cyan;cyan;cyan;cyan;darkCyan;darkCyan;black;black;darkCyan;darkCyan;darkCyan;darkCyan;black;black;darkCyan;darkCyan;black;black;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;black;black;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;
darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;black;black;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;black;black;green;green;green;green;black;black;green;green;black;black;cyan;cyan;cyan;cyan;black;black;cyan;cyan;cyan;cyan;cyan;cyan;black;black;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;black;black;darkCyan;darkCyan;darkCyan;darkCyan;black;black;darkblue;darkblue;black;black;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;black;black;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;
darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;black;black;green;green;green;green;green;green;black;black;green;green;green;green;black;black;cyan;cyan;black;black;cyan;cyan;cyan;cyan;black;black;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;black;black;darkCyan;darkCyan;darkCyan;darkCyan;darkblue;darkblue;darkblue;darkblue;black;black;darkblue;darkblue;darkblue;darkblue;black;black;darkblue;darkblue;black;black;black;black;black;black;black;black;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;black;black;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;
darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;black;black;green;green;green;green;green;green;black;black;cyan;cyan;cyan;cyan;black;black;cyan;cyan;black;black;cyan;cyan;darkCyan;darkCyan;black;black;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;black;black;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;black;black;darkblue;darkblue;darkblue;darkblue;black;black;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;black;black;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;black;black;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;magenta;magenta;magenta;magenta;magenta;magenta;
darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;darkgreen;black;black;green;green;green;green;green;green;black;black;cyan;cyan;cyan;cyan;black;black;cyan;cyan;black;black;darkCyan;darkCyan;darkCyan;darkCyan;black;black;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;black;black;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;black;black;darkMagenta;darkMagenta;darkMagenta;darkMagenta;black;black;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;black;black;darkMagenta;darkMagenta;magenta;magenta;magenta;magenta;black;black;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;
darkgreen;darkgreen;darkgreen;darkgreen;green;green;black;black;green;green;cyan;cyan;cyan;cyan;black;black;black;black;black;black;black;black;cyan;cyan;black;black;black;black;black;black;black;black;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;black;black;black;black;black;black;black;black;darkMagenta;darkMagenta;black;black;black;black;black;black;black;black;darkMagenta;darkMagenta;black;black;black;black;black;black;black;black;magenta;magenta;magenta;magenta;magenta;magenta;black;black;red;red;red;red;red;red;magenta;magenta;magenta;magenta;magenta;magenta;
darkgreen;darkgreen;darkgreen;darkgreen;green;green;green;green;green;green;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;magenta;magenta;
darkgreen;darkgreen;darkgreen;darkgreen;green;green;green;green;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkblue;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;red;
darkgreen;darkgreen;green;green;green;green;green;green;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;cyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkCyan;darkblue;darkblue;darkblue;darkblue;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;darkMagenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;magenta;red;red;red;red;red;red;red;red;red;red;red;red;red;red;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;darkred;red;red;red;red;
